Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,Gold Found
10,0.03,0,40,-67,1,1,0,0,21,1
10,0.03,1,67,-1108,2,0,2,1,46,1
10,0.03,2,104,-3169,4,2,2,1,60,1
10,0.03,3,63,-1102,2,1,1,0,36,1
10,0.03,4,149,-3257,4,2,2,0,62,1
10,0.03,5,47,-3068,4,1,3,0,25,1
10,0.03,6,68,-2102,3,2,1,0,49,1
10,0.03,7,155,-4270,5,2,3,0,58,1
10,0.03,8,25,-43,1,0,1,0,15,1
10,0.03,9,27,-42,1,0,1,0,16,1
10,0.03,0,23,-36,1,0,1,0,16,1
10,0.03,1,66,-2107,3,1,2,0,47,1
10,0.03,2,108,-195,1,0,1,0,46,1
10,0.03,3,56,-2091,3,1,2,0,38,1
10,0.03,4,75,-3118,4,2,2,1,43,1
10,0.03,5,41,-69,1,0,1,0,32,1
10,0.03,6,84,-1152,2,1,1,1,57,1
10,0.03,7,75,-1130,2,0,2,0,46,1
10,0.03,8,82,-2135,3,2,1,0,53,1
10,0.03,9,70,-2109,3,1,2,0,50,1
10,0.03,0,47,-2076,3,1,2,1,25,1
10,0.03,1,173,-4306,5,3,2,1,65,1
10,0.03,2,31,947,0,0,0,0,17,1
10,0.03,3,138,-2239,3,2,1,1,58,1
10,0.03,4,562,-6116,6,3,3,3,74,0
10,0.03,5,597,-6183,6,3,3,2,69,0
10,0.03,6,106,-4175,5,3,2,1,55,1
10,0.03,7,165,-5283,6,3,3,3,75,1
10,0.03,8,515,-5999,6,3,3,2,71,1
10,0.03,9,1229,-7471,6,3,3,3,74,0
10,0.03,0,92,-4157,5,3,2,1,42,1
10,0.03,1,34,-1050,2,2,0,0,19,1
10,0.03,2,47,-2070,3,3,0,0,29,1
10,0.03,3,89,-3151,4,2,2,1,45,1
10,0.03,4,87,-2136,3,1,2,1,54,1
10,0.03,5,33,-1053,2,1,1,0,21,1
10,0.03,6,64,-2105,3,2,1,1,39,1
10,0.03,7,111,-5173,6,3,3,2,59,1
10,0.03,8,74,-5121,6,4,2,1,35,1
10,0.03,9,58,-108,1,0,1,0,28,1
10,0.03,0,66,-1106,2,1,1,0,44,1
10,0.03,1,11,984,0,0,0,0,6,1
10,0.03,2,31,-1049,2,1,1,0,20,1
10,0.03,3,11,-16,1,1,0,0,5,1
10,0.03,4,30,-45,1,1,0,0,16,1
10,0.03,5,69,-3112,4,1,3,0,43,1
10,0.03,6,181,-3347,4,2,2,1,60,1
10,0.03,7,115,-2217,3,1,2,1,41,1
10,0.03,8,210,-4368,5,2,3,1,72,1
10,0.03,9,32,-48,1,1,0,0,16,1
10,0.082,0,12,-19,1,0,1,0,5,1
10,0.082,1,7,993,0,0,0,0,4,1
10,0.082,2,83,-5148,6,2,4,2,24,1
10,0.082,3,141,-11239,12,7,5,2,42,1
10,0.082,4,9,-12,1,0,1,0,4,1
10,0.082,5,14,-23,1,0,1,0,7,1
10,0.082,6,271,-11527,12,5,7,4,46,1
10,0.082,7,14,-1020,2,0,2,0,5,1
10,0.082,8,33,-4045,5,3,2,0,15,1
10,0.082,9,13,980,0,0,0,0,10,1
10,0.082,0,223,-12412,13,7,6,3,42,1
10,0.082,1,51,-4080,5,1,4,2,22,1
10,0.082,2,159,-7306,8,5,3,1,36,1
10,0.082,3,119,-9210,10,5,5,1,35,1
10,0.082,4,47,-2077,3,2,1,0,24,1
10,0.082,5,149,-9255,10,7,3,4,46,1
10,0.082,6,169,-10295,11,5,6,3,50,1
10,0.082,7,163,-8304,9,5,4,2,35,1
10,0.082,8,84,-5135,6,3,3,0,32,1
10,0.082,9,169,-11290,12,7,5,3,49,1
10,0.082,0,40,-4059,5,2,3,2,11,1
10,0.082,1,40,-5056,6,4,2,1,12,1
10,0.082,2,81,-7130,8,6,2,1,33,1
10,0.082,3,146,-13232,14,8,6,4,43,1
10,0.082,4,41,-3064,4,2,2,1,11,1
10,0.082,5,23,-1033,2,1,1,0,10,1
10,0.082,6,116,-7214,8,6,2,2,26,1
10,0.082,7,155,-10282,11,6,5,1,35,1
10,0.082,8,29,-2043,3,2,1,1,11,1
10,0.082,9,96,-12157,13,6,7,3,22,1
10,0.082,0,37,-2057,3,2,1,0,12,1
10,0.082,1,378,-14732,15,8,7,7,39,1
10,0.082,2,44,-3069,4,2,2,0,14,1
10,0.082,3,24,-38,1,0,1,0,12,1
10,0.082,4,32,-2051,3,1,2,1,11,1
10,0.082,5,158,-12264,13,6,7,6,36,1
10,0.082,6,30,-2042,3,1,2,0,11,1
10,0.082,7,40,-4060,5,2,3,0,12,1
10,0.082,8,122,-10210,11,6,5,2,28,1
10,0.082,9,122,-10216,11,6,5,2,29,1
10,0.082,0,242,-11450,12,6,6,5,45,1
10,0.082,1,262,-12501,13,7,6,5,47,1
10,0.082,2,100,-9156,10,5,5,3,24,1
10,0.082,3,141,-9275,10,6,4,3,26,1
10,0.082,4,97,-7149,8,5,3,2,34,1
10,0.082,5,192,-12353,13,9,4,5,41,1
10,0.082,6,1331,-15709,14,8,6,6,51,0
10,0.082,7,196,-9356,10,6,4,5,52,1
10,0.082,8,58,-4091,5,3,2,2,26,1
10,0.082,9,141,-13245,14,8,6,3,36,1
10,0.163,0,91,-15145,16,9,7,4,5,1
10,0.163,1,177,-21325,22,11,11,7,10,1
10,0.163,2,378,-24744,25,11,14,13,27,1
10,0.163,3,95,-15158,16,9,7,4,10,1
10,0.163,4,289,-23568,24,10,14,11,23,1
10,0.163,5,141,-22235,23,13,10,10,17,1
10,0.163,6,148,-21253,22,13,9,6,13,1
10,0.163,7,559,-29133,29,14,15,13,29,0
10,0.163,8,440,-14932,15,6,9,8,19,1
10,0.163,9,245,-25459,26,12,14,7,20,1
10,0.163,0,10,-1010,2,0,2,2,2,1
10,0.163,1,15,-3017,4,1,3,2,2,1
10,0.163,2,13,-2016,3,0,3,2,2,1
10,0.163,3,11,-1013,2,0,2,2,2,1
10,0.163,4,15,-3017,4,1,3,2,2,1
10,0.163,5,15,-3017,4,1,3,2,2,1
10,0.163,6,11,-1013,2,0,2,2,2,1
10,0.163,7,11,-1013,2,0,2,2,2,1
10,0.163,8,13,-2016,3,0,3,2,2,1
10,0.163,9,15,-3017,4,1,3,2,2,1
10,0.163,0,46,-4079,5,3,2,1,8,1
10,0.163,1,28,-2043,3,2,1,1,7,1
10,0.163,2,302,-17627,18,10,8,6,21,1
10,0.163,3,190,-18352,19,10,9,6,23,1
10,0.163,4,53,-5089,6,5,1,1,9,1
10,0.163,5,28,-4035,5,3,2,2,7,1
10,0.163,6,45,-3085,4,3,1,1,7,1
10,0.163,7,171,-19310,20,11,9,7,21,1
10,0.163,8,53,-7082,8,5,3,1,11,1
10,0.163,9,407,-22817,23,13,10,10,24,1
